Ryu,0.50,0.40,0.44,0.57,0.51,0.45,0.64,0.58,0.56,0.42,0.55,0.59,0.55,0.47,0.61,0.45,0.52,0.48,0.58,0.48,0.49,0.61,0.53
Mbison,0.61,0.50,0.43,0.59,0.55,0.46,0.58,0.52,0.64,0.60,0.46,0.50,0.54,0.61,0.40,0.51,0.45,0.57,0.62,0.51,0.44,0.64,0.54
Chunli,0.58,0.58,0.50,0.52,0.54,0.46,0.40,0.60,0.60,0.62,0.64,0.56,0.52,0.56,0.53,0.42,0.50,0.55,0.54,0.48,0.44,0.63,0.47
Ken,0.44,0.42,0.50,0.50,0.52,0.48,0.43,0.47,0.48,0.56,0.53,0.52,0.46,0.45,0.51,0.43,0.41,0.55,0.58,0.51,0.55,0.58,0.49
Karin,0.51,0.46,0.47,0.50,0.50,0.51,0.57,0.53,0.54,0.52,0.48,0.45,0.48,0.56,0.52,0.45,0.45,0.53,0.51,0.50,0.49,0.60,0.64
Zangief,0.56,0.56,0.56,0.53,0.50,0.50,0.30,0.45,0.49,0.59,0.39,0.58,0.56,0.57,0.62,0.48,0.58,0.47,0.53,0.41,0.59,0.47,0.63
Dhalsim,0.38,0.44,0.62,0.59,0.45,0.72,0.50,0.55,0.50,0.51,0.44,0.48,0.44,0.56,0.50,0.43,0.41,0.52,0.44,0.48,0.52,0.61,0.51
Nash,0.44,0.49,0.41,0.55,0.49,0.57,0.46,0.50,0.44,0.32,0.48,0.55,0.41,0.52,0.48,0.43,0.46,0.55,0.57,0.48,0.48,0.57,0.58
Vega,0.45,0.37,0.42,0.53,0.47,0.53,0.53,0.58,0.50,0.59,0.49,0.53,0.53,0.52,0.38,0.40,0.37,0.46,0.43,0.48,0.42,0.56,0.73
Juri,0.60,0.42,0.40,0.45,0.49,0.43,0.51,0.70,0.43,0.50,0.48,0.52,0.73,0.28,0.53,0.44,0.39,0.62,0.64,0.54,0.48,0.42,0.34
Birdie,0.47,0.56,0.38,0.49,0.54,0.62,0.59,0.54,0.54,0.55,0.50,0.63,0.47,0.55,0.52,0.37,0.44,0.53,0.57,0.52,0.35,0.64,0.62
Rmika,0.43,0.52,0.46,0.50,0.57,0.44,0.54,0.47,0.49,0.50,0.39,0.50,0.45,0.59,0.43,0.42,0.35,0.52,0.42,0.43,0.51,0.49,0.47
Rashid,0.47,0.47,0.50,0.56,0.54,0.46,0.58,0.61,0.49,0.29,0.55,0.57,0.50,0.58,0.48,0.51,0.42,0.43,0.60,0.53,0.58,0.62,0.67
Fang,0.55,0.40,0.47,0.57,0.46,0.45,0.46,0.51,0.50,0.74,0.47,0.44,0.44,0.50,0.38,0.29,0.40,0.36,0.58,0.56,0.53,0.52,0.58
Laura,0.41,0.61,0.49,0.51,0.49,0.40,0.50,0.54,0.64,0.49,0.50,0.58,0.54,0.64,0.50,0.44,0.48,0.59,0.55,0.55,0.52,0.59,0.62
Necalli,0.56,0.51,0.60,0.59,0.57,0.54,0.59,0.58,0.62,0.59,0.65,0.60,0.51,0.73,0.58,0.50,0.55,0.61,0.47,0.61,0.58,0.63,0.58
Cammy,0.49,0.57,0.50,0.60,0.56,0.43,0.60,0.55,0.65,0.62,0.58,0.67,0.60,0.62,0.54,0.46,0.50,0.58,0.63,0.56,0.55,0.66,0.58
Guile,0.53,0.44,0.46,0.46,0.49,0.55,0.50,0.46,0.56,0.40,0.49,0.50,0.59,0.66,0.43,0.41,0.44,0.50,0.52,0.49,0.55,0.50,0.71
Ibuki,0.43,0.40,0.48,0.44,0.50,0.49,0.58,0.45,0.59,0.38,0.45,0.60,0.42,0.45,0.47,0.55,0.39,0.49,0.50,0.52,0.54,0.60,0.54
Balrog,0.53,0.51,0.54,0.50,0.52,0.61,0.54,0.53,0.54,0.48,0.50,0.59,0.49,0.46,0.47,0.41,0.45,0.52,0.49,0.50,0.58,0.58,0.54
Urien,0.3,0.58,0.58,0.46,0.53,0.43,0.50,0.53,0.59,0.53,0.67,0.51,0.43,0.49,0.49,0.43,0.46,0.47,0.48,0.44,0.50,0.56,0.68
Alex,0.41,0.38,0.39,0.43,0.42,0.55,0.41,0.45,0.46,0.60,0.38,0.53,0.40,0.50,0.43,0.39,0.36,0.52,0.42,0.43,0.45,0.50,0.49
Akuma,0.48,0.47,0.55,0.52,0.37,0.39,0.51,0.44,0.28,0.67,0.39,0.54,0.34,0.44,0.40,0.43,0.43,0.30,0.48,0.47,0.33,0.52,0.50
